district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,PRECTOTCORR_avg_lag_1,PRECTOTCORR_avg_lag_2,PRECTOTCORR_avg_lag_3,PRECTOTCORR_avg_lag_4,PRECTOTCORR_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_1,T2M_avg_lag_2,T2M_avg_lag_3,T2M_avg_lag_4,T2M_avg_lag_5,T2M_avg_lag_6,RH2M_avg_lag_1,RH2M_avg_lag_2,RH2M_avg_lag_3,RH2M_avg_lag_4,RH2M_avg_lag_5,RH2M_avg_lag_6,target
Anuradhapura,37,2020-09-12,2020-09-18, 2020-09-12 to 2020-09-18,26.77,25.94,26.53571429,31.18,29.05,30.06857143,24.85,23.73,24.27,87.28,81.66,84.70142857,1.14,0.04,0.467142857,9,False,False,True,37,-0.970941817,-0.239315664,17.79142857,5.361428571,0.137142857,0.007142857,0.93,1.058571429,27.07571429,27.89571429,29.14857143,28.62857143,27.59857143,27.22,79.03714286,75.23714286,69.44,71.98142857,75.63857143,77.26714286,0
Matale,234,2024-06-22,2024-06-28, 2024-06-22 to 2024-06-28,26.6,25.39,26.20428571,31.34,28.94,30.03428571,24.24,23.18,23.83428571,83.25,79.76,81.49714286,5.07,0.26,2.345714286,6,False,False,True,25,0.12053668,-0.992708874,1.417142857,1.13,3.617142857,3.998571429,11.07142857,10.76857143,26.68714286,26.59571429,26.50857143,26.58,26.52428571,27.32714286,82.61428571,83.26714286,84.32285714,86.53142857,86.65,80.27,0
Kegalle,74,2021-05-29,2021-06-04, 2021-05-29 to 2021-06-04,26.12,25.07,25.83571429,29.83,26.66,28.86571429,24.26,23.35,23.90142857,93.58,86.85,89.20142857,51.02,0.13,9.06,5,False,False,True,21,0.568064747,-0.822983866,12.20857143,4.302857143,9.121428571,12.29,2.764285714,1.45,25.56142857,25.75571429,25.98857143,26.42142857,26.42428571,25.90857143,89.02571429,86.99142857,88.52142857,84.54857143,83.59428571,86.91857143,0
Matara,75,2021-06-05,2021-06-11, 2021-06-05 to 2021-06-11,27.62,27.26,27.45857143,29.12,28.01,28.75428571,26.77,26.1,26.55142857,87.43,83.79,85.61571429,20.26,0.73,6.418571429,6,False,False,True,22,0.464723172,-0.885456026,8.664285714,11.85857143,4.831428571,13.38,8.68,6.311428571,27.62571429,28.03285714,28.05,27.96,28.07285714,28.24857143,85.50142857,84.77142857,83.52,84.05857143,79.72428571,81.89571429,0
Puttalam,128,2022-06-11,2022-06-17, 2022-06-11 to 2022-06-17,27.57,26.28,26.83,29.61,27.98,28.86285714,26.09,25.04,25.46571429,86.77,83.79,85.72,3.19,0.05,1.612857143,6,False,False,True,23,0.354604887,-0.935016243,0.57,2.461428571,9.988571429,3.984285714,1.247142857,1.104285714,27.21571429,27.23,27.62428571,27.81714286,28.39285714,28.49285714,86.28142857,84.94714286,85.76285714,83.66428571,83.37428571,84.59142857,0
Monaragala,171,2023-04-08,2023-04-14, 2023-04-08 to 2023-04-14,26.19,24.36,24.94857143,31.3,28.61,29.65714286,22.24,20.26,21.15,88.17,78.08,84.58714286,2.66,0.48,1.224285714,4,False,False,False,14,0.992708874,-0.12053668,4.977142857,0.214285714,4.71,5.774285714,3.092857143,5.934285714,25.05571429,25.13428571,24.87428571,23.76285714,23.47285714,22.73142857,84.50714286,81.79571429,86.58,91.03428571,90.70285714,88.29571429,1
Polonnaruwa,77,2021-06-19,2021-06-25, 2021-06-19 to 2021-06-25,28.71,27.43,27.94571429,33.99,31.03,32.22714286,25.18,24.3,24.72,81.63,75.17,79.59,1.54,0.11,0.695714286,6,False,False,True,24,0.239315664,-0.970941817,0.932857143,0.995714286,5.63,5.127142857,3.012857143,5.448571429,27.84285714,27.53571429,28.14571429,27.59285714,27.87714286,27.82428571,80.79,83.82857143,83.42571429,84.58142857,82.88428571,85.18,0
Jaffna,234,2024-06-22,2024-06-28, 2024-06-22 to 2024-06-28,29.71,29.24,29.52571429,31.51,30.65,31.12571429,28.34,28.04,28.20142857,77.04,67.9,73.35571429,2.32,0.07,0.722857143,6,False,False,True,25,0.12053668,-0.992708874,1.287142857,0.47,3.528571429,0.884285714,7.115714286,8.17,29.28,29.41857143,29.52285714,30.13428571,29.62857143,30.16142857,80.51714286,80.98857143,82.10428571,79.51428571,81.81857143,74.05,0
Anuradhapura,150,2022-11-12,2022-11-18, 2022-11-12 to 2022-11-18,25.1,24.15,24.77857143,29.02,27.6,28.50285714,23.24,21.14,22.25285714,89.91,82.78,87.34428571,10.16,0.01,5.177142857,11,True,False,False,45,-0.748510748,0.663122658,15.22142857,18.02571429,4.787142857,11.80428571,8.384285714,0.297142857,25.15571429,25.59714286,25.71285714,25.96714286,27.57142857,27.57714286,89.84428571,88.6,83.46142857,85.75857143,78.90428571,72.47714286,0
Puttalam,100,2021-11-27,2021-12-03, 2021-11-27 to 2021-12-03,26.56,25.93,26.3,29.57,27.77,28.78285714,24.82,23.74,24.22142857,90.46,84.25,87.02142857,30.37,1.22,15.20285714,11,True,False,False,47,-0.568064747,0.822983866,11.91142857,11.10571429,18.90428571,23.16285714,16.63,7.161428571,26.15857143,26.42571429,26.04428571,26.44428571,26.71571429,27.30571429,87.18,88.90285714,88.15571429,87.54142857,83.21285714,82.61714286,0
Mannar,216,2024-02-17,2024-02-23, 2024-02-17 to 2024-02-23,27.84,26.59,27.11285714,30.27,29.28,29.84285714,25.34,23.59,24.69571429,81.44,79.56,80.47285714,1.02,0.0,0.145714286,2,False,True,False,7,0.748510748,0.663122658,0.022857143,0.017142857,1.022857143,0.36,4.777142857,6.932857143,26.79285714,26.37428571,26.49714286,25.73,25.69142857,26.4,80.08857143,81.66571429,82.45,81.14857143,81.07714286,86.80571429,0
Vavuniya,27,2020-07-04,2020-07-10, 2020-07-04 to 2020-07-10,29.07,27.19,28.19428571,33.77,30.04,31.98285714,26.13,25.08,25.74142857,85.49,71.0,76.50142857,15.25,0.03,4.284285714,7,False,False,True,27,-0.12053668,-0.992708874,0.231428571,4.781428571,0.288571429,0.738571429,0.305714286,0.237142857,28.64,28.57,29.67142857,29.02571429,29.19142857,29.60285714,76.41285714,73.98285714,72.91714286,73.18285714,75.69714286,78.10428571,0
Batticaloa,231,2024-06-01,2024-06-07, 2024-06-01 to 2024-06-07,30.0,28.71,29.29571429,31.78,30.58,31.36142857,28.81,27.33,27.76,81.69,76.84,80.43857143,7.61,0.17,2.641428571,6,False,False,True,22,0.464723172,-0.885456026,2.371428571,10.55285714,9.884285714,2.135714286,5.775714286,1.015714286,29.75285714,29.42285714,29.26428571,30.46,30.36,30.07142857,78.51428571,80.94,79.84142857,78.90285714,77.08142857,75.66,1
Hambantota,239,2024-07-27,2024-08-02, 2024-07-27 to 2024-08-02,28.16,27.54,27.85857143,29.65,29.05,29.32857143,27.22,25.99,26.79714286,88.73,82.54,85.98285714,6.7,1.92,4.39,7,False,False,True,30,-0.464723172,-0.885456026,1.932857143,2.314285714,3.464285714,3.68,3.29,2.531428571,28.17142857,27.98285714,28.02285714,28.34857143,28.32571429,28.46857143,85.09,84.68,83.65,83.91571429,83.05571429,84.38428571,0
